Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=late, amount=1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=excused, amount=1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=excused, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=excused, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=excused, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=excused, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=break_late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=break_late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=break_late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=break_late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=late, amount=-1
Action hit: id=194aa44c-6015-4a8c-9fc9-7456ad1a4f4e, type=late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=break_late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=break_late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=break_late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=break_late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=break_late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=break_late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=break_late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=break_late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=break_late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=excused, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=-1
Action hit: id=f84cbfc2-ac7b-4a06-8e19-c87269ec1e6b, type=late, amount=-1
